,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
149,Argentina,ARG,2021-02-16,611169.0,373253.0,237916.0,1378.0,13999.0,1.35,0.83,0.53,310.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
150,Argentina,ARG,2021-02-17,612322.0,374002.0,238320.0,1153.0,11003.0,1.35,0.83,0.53,243.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
151,Argentina,ARG,2021-02-18,635583.0,392399.0,243184.0,23261.0,8951.0,1.41,0.87,0.54,198.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
152,Argentina,ARG,2021-02-19,668654.0,414958.0,253696.0,33071.0,11003.0,1.48,0.92,0.56,243.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
153,Argentina,ARG,2021-02-20,707148.0,445614.0,261534.0,38494.0,14415.0,1.56,0.99,0.58,319.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
154,Argentina,ARG,2021-02-21,720267.0,456929.0,263338.0,13119.0,15809.0,1.59,1.01,0.58,350.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
155,Argentina,ARG,2021-02-22,722234.0,458822.0,263412.0,1967.0,16063.0,1.6,1.02,0.58,355.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
156,Argentina,ARG,2021-02-23,746615.0,481689.0,264926.0,24381.0,19349.0,1.65,1.07,0.59,428.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
157,Argentina,ARG,2021-02-24,780455.0,513394.0,267061.0,33840.0,24019.0,1.73,1.14,0.59,531.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
176,Austria,AUT,2021-01-18,88973.0,60708.0,304.0,6968.0,9673.0,0.99,0.67,0.0,1074.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
177,Austria,AUT,2021-01-19,97389.0,70474.0,1034.0,8416.0,10876.0,1.08,0.78,0.01,1208.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
178,Austria,AUT,2021-01-20,127354.0,86888.0,2007.0,29965.0,15156.0,1.41,0.96,0.02,1683.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
179,Austria,AUT,2021-01-21,152843.0,105038.0,3214.0,25489.0,15108.0,1.7,1.17,0.04,1677.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
180,Austria,AUT,2021-01-22,163692.0,121216.0,3540.0,10849.0,13746.0,1.82,1.35,0.04,1526.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
181,Austria,AUT,2021-01-23,168700.0,132105.0,4243.0,5008.0,13233.0,1.87,1.47,0.05,1469.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
182,Austria,AUT,2021-01-24,171416.0,135249.0,4289.0,2716.0,12773.0,1.9,1.5,0.05,1418.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
183,Austria,AUT,2021-01-25,177179.0,137044.0,4306.0,5763.0,12601.0,1.97,1.52,0.05,1399.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
184,Austria,AUT,2021-01-26,187606.0,146587.0,4346.0,10427.0,12888.0,2.08,1.63,0.05,1431.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
185,Austria,AUT,2021-01-27,191749.0,153859.0,5126.0,4143.0,9199.0,2.13,1.71,0.06,1021.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
186,Austria,AUT,2021-01-28,198091.0,163806.0,5633.0,6342.0,6464.0,2.2,1.82,0.06,718.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
187,Austria,AUT,2021-01-29,208878.0,174262.0,7157.0,10787.0,6455.0,2.32,1.93,0.08,717.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
188,Austria,AUT,2021-01-30,220647.0,183628.0,13551.0,11769.0,7421.0,2.45,2.04,0.15,824.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
189,Austria,AUT,2021-01-31,224792.0,185291.0,15207.0,4145.0,7625.0,2.5,2.06,0.17,847.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
190,Austria,AUT,2021-02-01,227802.0,186479.0,15866.0,3010.0,7232.0,2.53,2.07,0.18,803.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
191,Austria,AUT,2021-02-02,241258.0,189926.0,19062.0,13456.0,7665.0,2.68,2.11,0.21,851.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
192,Austria,AUT,2021-02-03,252707.0,194287.0,28233.0,11449.0,8708.0,2.81,2.16,0.31,967.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
193,Austria,AUT,2021-02-04,262079.0,198912.0,39329.0,9372.0,9141.0,2.91,2.21,0.44,1015.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
194,Austria,AUT,2021-02-05,277431.0,202160.0,50669.0,15352.0,9793.0,3.08,2.24,0.56,1087.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
195,Austria,AUT,2021-02-06,284578.0,208144.0,62123.0,7147.0,9133.0,3.16,2.31,0.69,1014.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
196,Austria,AUT,2021-02-07,289954.0,210239.0,66621.0,5376.0,9309.0,3.22,2.33,0.74,1034.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
197,Austria,AUT,2021-02-08,298195.0,212062.0,71135.0,8241.0,10056.0,3.31,2.35,0.79,1117.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
198,Austria,AUT,2021-02-09,311221.0,215592.0,78852.0,13026.0,9995.0,3.46,2.39,0.88,1110.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
199,Austria,AUT,2021-02-10,329881.0,219286.0,90983.0,18660.0,11025.0,3.66,2.43,1.01,1224.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
200,Austria,AUT,2021-02-11,343069.0,224467.0,106450.0,13188.0,11570.0,3.81,2.49,1.18,1285.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
201,Austria,AUT,2021-02-12,365414.0,229317.0,122349.0,22345.0,12569.0,4.06,2.55,1.36,1396.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
202,Austria,AUT,2021-02-13,368766.0,236728.0,136564.0,3352.0,12027.0,4.09,2.63,1.52,1335.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
203,Austria,AUT,2021-02-14,374034.0,241795.0,141922.0,5268.0,12011.0,4.15,2.68,1.58,1334.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
204,Austria,AUT,2021-02-15,402986.0,242625.0,143889.0,28952.0,14970.0,4.47,2.69,1.6,1662.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
205,Austria,AUT,2021-02-16,418055.0,247553.0,151477.0,15069.0,15262.0,4.64,2.75,1.68,1695.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
206,Austria,AUT,2021-02-17,444836.0,253854.0,160094.0,26781.0,16422.0,4.94,2.82,1.78,1823.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
207,Austria,AUT,2021-02-18,466029.0,266191.0,174350.0,21193.0,17566.0,5.17,2.96,1.94,1950.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
208,Austria,AUT,2021-02-19,486888.0,277204.0,184366.0,20859.0,17353.0,5.41,3.08,2.05,1927.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
209,Austria,AUT,2021-02-20,498476.0,288601.0,193620.0,11588.0,18530.0,5.53,3.2,2.15,2057.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
210,Austria,AUT,2021-02-21,508066.0,298199.0,195539.0,9590.0,19147.0,5.64,3.31,2.17,2126.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
211,Austria,AUT,2021-02-22,519338.0,305333.0,197941.0,11272.0,16622.0,5.77,3.39,2.2,1846.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
212,Austria,AUT,2021-02-23,535870.0,312624.0,201848.0,16532.0,16831.0,5.95,3.47,2.24,1869.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
213,Austria,AUT,2021-02-24,556506.0,323716.0,207148.0,20636.0,15953.0,6.18,3.59,2.3,1771.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
412,Belgium,BEL,2021-01-18,133940.0,133831.0,109.0,10864.0,14482.0,1.16,1.15,0.0,1250.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
413,Belgium,BEL,2021-01-19,153150.0,152860.0,290.0,19210.0,15009.0,1.32,1.32,0.0,1295.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
414,Belgium,BEL,2021-01-20,174099.0,173387.0,712.0,20949.0,15015.0,1.5,1.5,0.01,1296.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
415,Belgium,BEL,2021-01-21,203919.0,203207.0,712.0,29820.0,16021.0,1.76,1.75,0.01,1382.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
416,Belgium,BEL,2021-01-22,233019.0,232276.0,743.0,29100.0,16894.0,2.01,2.0,0.01,1458.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
417,Belgium,BEL,2021-01-23,241096.0,240346.0,750.0,8077.0,17330.0,2.08,2.07,0.01,1495.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
418,Belgium,BEL,2021-01-24,242972.0,242222.0,750.0,1876.0,17128.0,2.1,2.09,0.01,1478.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
419,Belgium,BEL,2021-01-25,254167.0,253417.0,750.0,11195.0,17175.0,2.19,2.19,0.01,1482.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
420,Belgium,BEL,2021-01-26,266403.0,264178.0,2225.0,12236.0,16179.0,2.3,2.28,0.02,1396.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
421,Belgium,BEL,2021-01-27,282496.0,277087.0,5409.0,16093.0,15485.0,2.44,2.39,0.05,1336.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
422,Belgium,BEL,2021-01-28,304548.0,292063.0,12485.0,22052.0,14376.0,2.63,2.52,0.11,1240.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
423,Belgium,BEL,2021-01-29,324378.0,303582.0,20796.0,19830.0,13051.0,2.8,2.62,0.18,1126.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
424,Belgium,BEL,2021-01-30,328820.0,305152.0,23668.0,4442.0,12532.0,2.84,2.63,0.2,1081.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
425,Belgium,BEL,2021-01-31,329713.0,305717.0,23996.0,893.0,12392.0,2.84,2.64,0.21,1069.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
426,Belgium,BEL,2021-02-01,337287.0,309600.0,27687.0,7574.0,11874.0,2.91,2.67,0.24,1025.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
427,Belgium,BEL,2021-02-02,359955.0,319271.0,40684.0,22668.0,13365.0,3.11,2.75,0.35,1153.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
428,Belgium,BEL,2021-02-03,388415.0,328575.0,59840.0,28460.0,15131.0,3.35,2.84,0.52,1306.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
429,Belgium,BEL,2021-02-04,420060.0,337436.0,82624.0,31645.0,16502.0,3.62,2.91,0.71,1424.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
430,Belgium,BEL,2021-02-05,449041.0,344835.0,104206.0,28981.0,17809.0,3.87,2.98,0.9,1537.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
431,Belgium,BEL,2021-02-06,455267.0,346048.0,109219.0,6226.0,18064.0,3.93,2.99,0.94,1559.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
432,Belgium,BEL,2021-02-07,458384.0,346347.0,112037.0,3117.0,18382.0,3.96,2.99,0.97,1586.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
433,Belgium,BEL,2021-02-08,467986.0,348575.0,119411.0,9602.0,18671.0,4.04,3.01,1.03,1611.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
434,Belgium,BEL,2021-02-09,494244.0,356024.0,138220.0,26258.0,19184.0,4.26,3.07,1.19,1655.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
435,Belgium,BEL,2021-02-10,518556.0,362470.0,156086.0,24312.0,18592.0,4.47,3.13,1.35,1604.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
436,Belgium,BEL,2021-02-11,552766.0,369812.0,182954.0,34210.0,18958.0,4.77,3.19,1.58,1636.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
437,Belgium,BEL,2021-02-12,585289.0,375869.0,209420.0,32523.0,19464.0,5.05,3.24,1.81,1679.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
438,Belgium,BEL,2021-02-13,593219.0,376404.0,216815.0,7930.0,19707.0,5.12,3.25,1.87,1700.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
439,Belgium,BEL,2021-02-14,595137.0,376477.0,218660.0,1918.0,19536.0,5.14,3.25,1.89,1686.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
440,Belgium,BEL,2021-02-15,608135.0,378238.0,229897.0,12998.0,20021.0,5.25,3.26,1.98,1727.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
441,Belgium,BEL,2021-02-16,622240.0,382323.0,239917.0,14105.0,18285.0,5.37,3.3,2.07,1578.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
442,Belgium,BEL,2021-02-17,638528.0,387800.0,250728.0,16288.0,17139.0,5.51,3.35,2.16,1479.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
443,Belgium,BEL,2021-02-18,661853.0,397259.0,264594.0,23325.0,15584.0,5.71,3.43,2.28,1345.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
444,Belgium,BEL,2021-02-19,687879.0,412749.0,275130.0,26026.0,14656.0,5.94,3.56,2.37,1265.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
445,Belgium,BEL,2021-02-20,692340.0,416071.0,276269.0,4461.0,14160.0,5.97,3.59,2.38,1222.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
446,Belgium,BEL,2021-02-21,693782.0,417479.0,276303.0,1442.0,14092.0,5.99,3.6,2.38,1216.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
447,Belgium,BEL,2021-02-22,702656.0,424412.0,278244.0,8874.0,13503.0,6.06,3.66,2.4,1165.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
448,Belgium,BEL,2021-02-23,709568.0,428729.0,280839.0,6912.0,12475.0,6.12,3.7,2.42,1076.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
529,Brazil,BRA,2021-02-06,3401383.0,3399421.0,1962.0,326477.0,199739.0,1.6,1.6,0.0,940.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
530,Brazil,BRA,2021-02-07,3553681.0,3534004.0,19677.0,152298.0,211375.0,1.67,1.66,0.01,994.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
531,Brazil,BRA,2021-02-08,3605538.0,3579850.0,25688.0,51857.0,211604.0,1.7,1.68,0.01,996.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
532,Brazil,BRA,2021-02-09,3820207.0,3786591.0,33616.0,214669.0,218237.0,1.8,1.78,0.02,1027.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
533,Brazil,BRA,2021-02-10,4120332.0,4069677.0,50655.0,300125.0,228375.0,1.94,1.91,0.02,1074.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
534,Brazil,BRA,2021-02-11,4406835.0,4326075.0,80760.0,286503.0,190540.0,2.07,2.04,0.04,896.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
535,Brazil,BRA,2021-02-12,4696136.0,4586270.0,109866.0,289301.0,231604.0,2.21,2.16,0.05,1090.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
536,Brazil,BRA,2021-02-13,5125206.0,4946738.0,178468.0,429070.0,246260.0,2.41,2.33,0.08,1159.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
